word,freq
howard,1
however,4
http,1
huge,1
human,2
humans,1
hunger,2
huth,1
ï,1
id,1
igf,1
imbalance,1
immediately,1
imminent,1
impact,1
impacts,1
imperative,1
importance,2
important,1
inclination,1
including,3
increase,2
increased,3
increasedâ,1
increases,2
increasing,3
indeed,1
indicated,1
infants,1
inflammatory,1
influence,1
influenced,1
information,2
instance,1
insufficient,1
insulin,2
insulinâ,1
intake,11
intakes,1
international,1
introduction,2
isocaloric,1
isometabolic,1
issue,1
issues,4
item,1
jm,1
jp,1
junctional,1
just,2
kd,1
keast,1
keep,1
key,1
kg,2
kidneys,1
kilocalorie,1
kilogram,1
kilograms,1
known,3
knuth,1
krebs,1
ky,1
labeling,2
lagergren,2
last,1
later,1
lead,3
leading,1
leads,2
learn,1
less,1
lettieri,1
level,3
levels,2
lg,1
li,1
license,2
licenses,1
life,3
lifespans,1
like,1
limit,1
limited,2
lindam,1
link,1
linked,1
liquids,1
little,3
live,1
liver,1
llc,1
lm,1
loaded,1
long,2
longo,1
loop,1
lose,5
loss,9
lost,1
low,3
made,1
main,1
maintain,5
major,2
make,1
makes,1
male,1
malignancies,1
malnutrition,2
manchishi,1
mann,1
manner,1
many,1
markedly,1
markers,1
mass,2
massâ,1
maximum,1
may,4
mc,1
mean,2
meaning,1
measure,1
meat,1
mechanisms,2
med,3
medium,1
mellitus,1
men,1
mental,2
menu,2
meta,1
metab,1
metabolic,1
metabolism,3
metabolisms,1
mg,1
miller,2
million,1
minerals,1
mode,2
models,1
mol,1
molecular,1
motivate,1
moving,1
much,1
multiple,2
multiply,1
muscle,2
muscles,1
named,1
national,1
nbk,1
nd,1
need,3
needed,1
needs,5
negativity,1
nervosa,1
neurodegenerative,1
neurogenesis,1
new,1
non,1
none,1
norm,1
normal,1
notably,2
nothing,1
noticeable,1
nov,3
number,2
numerically,1
numerous,1
nutr,3
nutrient,1
nutrients,9
nutrition,1
nutritional,2
nutritious,1
nuts,1
ny,1
obese,4
obesity,19
obesogenic,1
obtain,1
obtaining,1
oct,2
october,1
oesophageal,1
oil,1
older,1
olive,1
one,14
oneâ,9
order,1
ordering,1
org,1
organ,1
original,1
osilla,1
osteoarthritis,1
outlook,1
overall,1
overweight,1
oxidative,2
pace,1
page,2
parents,2
parentsâ,1
park,1
participate,1
particularly,1
parts,1
past,1
patients,1
people,2
per,8
permanent,1
permits,1
person,1
personâ,2
pharmacol,1
physical,4
physicians,1
physiology,3
pj,2
plasticity,1
play,1
plos,2
pmc,12
pmid,1
potential,2
poulose,1
pound,2
prado,1
predicted,1
pressure,2
prevent,2
preventable,1
prevention,1
previous,1
primary,1
print,1
problem,1
problems,2
processed,2
produced,1
production,1
proportions,1
protein,4
proteins,3
provide,1
provided,1
psychological,1
psychosom,1
public,1
publishing,1
pubmed,14
pubreader,1
put,2
quality,1
quantity,1
questions,3
raise,1
rapidly,1
real,2
recent,1
recognize,1
recommendations,1
red,1
redman,1
reduce,1
reduces,1
reducing,1
reduction,1
refer,1
references,2
refined,2
refuse,1
regards,1
related,1
release,1
relevant,1
remain,1
remodeling,1
reproduction,1
require,1
required,2
requirements,2
res,1
research,1
respond,2
restaurant,1
restaurants,1
restriction,8
result,2
resulting,1
results,1
rev,1
review,1
reviewâ,2
reviews,1
right,1
rises,1
rising,1
risk,5
risks,2
rj,1
role,1
root,1
ruppel,1
sandeep,1
saturated,2
sci,3
scott,1
se,1
see,4
seem,1
seems,1
selection,1
self,2
sep,1
share,3
sharma,1
shouldâ,1
shown,2
shukitt,1
shutting,1
siervo,1
significance,3
silver,1
similar,1
simple,1
simply,2
skarulis,1
skeletal,1
sleep,1
slow,1
slowed,1
slowly,1
sm,2
small,2
soc,1
social,1
sofas,1
sole,1
solely,2
solid,1
solution,1
source,1
sources,1
specific,3
spike,1
spikes,1
sports,1
spring,1
stains,1
start,1
starts,1
starvation,3
statpearls,6
status,1
staying,1
steadily,1
storage,1
stored,1
storing,1
stress,3
stroke,1
strong,2
strongly,1
studies,1
substantial,1
sugars,7
supplement_,1
supply,1
support,2
surge,1
survey,1
survival,2
sustain,2
sustaining,2
synapses,1
systematic,1
systems,1
take,2
tasks,1
taylor,1
teeth,1
temperature,1
temporary,1
terms,1
thorac,1
thus,3
time,1
today,2
toddler,1
together,1
toll,1
tomiyama,1
topic,1
tosti,1
toward,1
transgenic,1
trends,1
trying,1
turn,3
turns,1
twitter,1
type,4
types,1
undergoes,1
unfair,1
unfortunately,1
unreasonable,1
update,2
us,1
use,3
used,1
value,1
various,2
varying,1
vd,1
vegetables,2
versa,1
version,1
vice,1
view,1
views,1
vinas,1
vital,2
vitamins,1
vl,1
volume,1
vucenik,1
walter,2
want,1
wants,1
water,1
way,1
weakened,1
week,2
weighs,1
weight,22
well,4
western,1
whatever,1
whole,2
will,5
willâ,1
withâ,2
without,3
woman,3
women,1
wood,1
words,1
world,2
xh,1
yannai,1
years,1
yet,1
york,1
young,1
zou,1
zq,1
